Year,Tm,Wtm,Ltm,HR,BA,OBP,SLG,OPS
2016,NYY,84,78,183,0.253,0.315,0.405,0.72
2016,OAK,69,93,169,0.246,0.304,0.395,0.699
2016,PHI,71,91,161,0.24,0.301,0.384,0.685
2016,WSN,95,67,203,0.256,0.326,0.426,0.751
2016,PIT,78,83,153,0.257,0.333,0.402,0.734
2016,SDP,68,94,177,0.235,0.299,0.39,0.689
2016,SEA,86,76,223,0.259,0.326,0.43,0.756
2016,SFG,87,75,130,0.258,0.33,0.398,0.728
2016,TEX,95,67,215,0.262,0.322,0.433,0.755
2016,STL,86,76,225,0.255,0.325,0.442,0.767
2016,TBR,68,94,216,0.243,0.307,0.426,0.733
2015,ARI,79,83,154,0.265,0.324,0.414,0.738
2015,ATL,67,95,100,0.251,0.314,0.359,0.674
2015,BAL,81,81,217,0.25,0.307,0.421,0.728
2015,BOS,78,84,161,0.265,0.325,0.415,0.74
2015,CHC,97,65,171,0.244,0.321,0.398,0.72
2015,CHW,76,86,136,0.25,0.306,0.38,0.686
2015,CIN,64,98,167,0.248,0.312,0.394,0.706
2015,CLE,81,80,141,0.257,0.325,0.401,0.725
2015,COL,68,94,186,0.265,0.315,0.432,0.748
2015,DET,74,87,151,0.27,0.328,0.42,0.748
2015,WSN,83,79,177,0.251,0.321,0.403,0.724
2015,HOU,86,76,230,0.25,0.315,0.437,0.752
2015,KCR,95,67,139,0.269,0.322,0.412,0.734
2015,LAA,85,77,176,0.246,0.307,0.396,0.702
2015,LAD,92,70,187,0.25,0.326,0.413,0.739
2015,MIA,71,91,120,0.26,0.31,0.384,0.694
2015,TOR,93,69,232,0.269,0.34,0.457,0.797
2015,MIL,68,94,145,0.252,0.307,0.393,0.7
2015,MIN,83,79,156,0.247,0.305,0.399,0.704
2015,NYM,90,72,177,0.244,0.312,0.4,0.712
2015,NYY,87,75,212,0.251,0.323,0.421,0.744
2015,OAK,68,94,146,0.251,0.312,0.395,0.707
2015,PHI,63,99,130,0.249,0.303,0.382,0.684
2015,PIT,98,64,140,0.26,0.323,0.396,0.719
